1620333900000,55873.87000000,56061.73000000,55795.36000000,55913.75000000,497.37076300,1620334799999,27817885.71144267,19360,243.62227400,13625830.81065239,0
1620334800000,55913.76000000,56168.09000000,55890.86000000,56134.07000000,421.19218400,1620335699999,23590714.42091626,21103,214.97547700,12041832.68067615,0
1620335700000,56133.99000000,56259.89000000,56022.88000000,56240.72000000,535.80888500,1620336599999,30087844.47272847,20758,223.97008600,12577654.18080952,0
1620336600000,56240.72000000,56364.14000000,56160.45000000,56275.00000000,376.60966200,1620337499999,21188309.51609826,22661,192.10681300,10809319.10457021,0
1620337500000,56275.00000000,56452.82000000,56250.00000000,56296.52000000,605.47078200,1620338399999,34097249.43017702,23124,298.07910800,16786309.55136801,0
1620338400000,56296.52000000,56398.98000000,56186.16000000,56205.11000000,646.98639700,1620339299999,36405135.06532007,24518,287.81189000,16195237.85953944,0
1620339300000,56205.10000000,56448.27000000,56200.00000000,56237.58000000,387.07631600,1620340199999,21804887.62008221,17292,178.04376900,10030088.66142459,0
1620340200000,56237.57000000,56564.17000000,56237.57000000,56487.43000000,361.80658900,1620341099999,20409076.17850389,16116,199.20156900,11238049.92824958,0
1620341100000,56487.43000000,56513.01000000,56378.01000000,56498.56000000,455.49249800,1620341999999,25713429.90867247,15913,188.23365900,10625518.49781394,0
1620342000000,56498.56000000,56554.68000000,56329.00000000,56535.67000000,446.95703500,1620342899999,25230471.85918604,20239,210.88268100,11905501.15551917,0
1620342900000,56535.66000000,56677.19000000,56254.29000000,56530.44000000,593.84984500,1620343799999,33519314.48051387,25580,288.34573100,16276584.19625952,0
1620343800000,56530.45000000,56794.40000000,56403.75000000,56468.49000000,510.19711200,1620344699999,28885690.73746237,20852,243.27994400,13776214.85664217,0
1620344700000,56468.36000000,56615.93000000,56300.28000000,56393.68000000,432.91009700,1620345599999,24432564.29999903,15841,183.11807600,10337366.95891500,0
1620345600000,56393.68000000,56747.53000000,56028.46000000,56709.60000000,1021.81106500,1620346499999,57582988.18647238,35596,496.18600800,27969043.88063941,0
1620346500000,56709.61000000,57122.17000000,56695.53000000,56781.24000000,1065.77970400,1620347399999,60670829.14890025,38420,520.12484700,29611661.11564445,0
1620347400000,56781.24000000,56859.73000000,56571.42000000,56734.95000000,771.42973900,1620348299999,43743670.08971856,25266,341.96426000,19391376.13898788,0
1620348300000,56734.96000000,56842.30000000,56370.92000000,56376.29000000,813.22531500,1620349199999,46032234.34864698,24547,367.92585900,20822656.35169767,0
1620349200000,56376.33000000,56565.88000000,55900.00000000,56037.84000000,964.74631100,1620350099999,54226937.47017313,30682,409.81229600,23037472.37282031,0
1620350100000,56037.79000000,56300.02000000,56037.79000000,56260.00000000,589.38019100,1620350999999,33113159.40289602,18886,292.37333300,16426688.64948321,0
1620351000000,56260.00000000,56324.66000000,56021.99000000,56105.39000000,581.28216100,1620351899999,32670825.41644919,19191,299.33990800,16826405.18033924,0
1620351900000,56105.39000000,56293.79000000,55957.15000000,56197.07000000,653.02789800,1620352799999,36645830.87116638,24608,341.27140900,19152177.93207526,0
1620352800000,56197.06000000,56397.02000000,56119.60000000,56294.59000000,787.28486000,1620353699999,44271358.75344903,31190,376.75009800,21185962.51893970,0
1620353700000,56294.58000000,56300.00000000,55864.38000000,55876.58000000,943.40583700,1620354599999,52982848.27778422,29266,419.30062700,23557190.69523566,0
1620354600000,55876.58000000,55969.34000000,55500.00000000,55651.87000000,1580.26710700,1620355499999,88081302.80186619,43874,689.57461900,38436717.09889588,0
1620355500000,55655.75000000,55969.38000000,55651.97000000,55829.28000000,637.58449900,1620356399999,35601466.59774673,22869,339.58123900,18960671.41706592,0
1620356400000,55829.28000000,56150.00000000,55680.00000000,55909.21000000,873.53462700,1620357299999,48842842.06898208,23692,386.57909300,21615548.48473451,0
1620357300000,55909.21000000,55989.02000000,55510.89000000,55599.99000000,830.99493500,1620358199999,46329131.65360437,25992,415.52744800,23169831.51249430,0
1620358200000,55593.30000000,55880.00000000,55476.74000000,55737.00000000,626.82797600,1620359099999,34927160.61158936,20842,300.15601500,16727171.60581684,0
1620359100000,55737.00000000,55945.94000000,55680.00000000,55705.67000000,475.49723600,1620359999999,26538030.20389574,15686,232.96388200,13001718.00335488,0
1620360000000,55705.67000000,55735.75000000,55341.83000000,55730.76000000,864.88851300,1620360899999,48018290.70985299,24170,429.63954500,23854439.95316626,0
1620360900000,55730.75000000,55846.56000000,55419.36000000,55438.22000000,641.67444500,1620361799999,35689188.08520246,19561,291.31041500,16206211.39328024,0
1620361800000,55438.21000000,55696.26000000,55241.63000000,55693.25000000,843.40346000,1620362699999,46755875.64976977,25736,444.20383900,24628418.09562423,0
1620362700000,55692.21000000,55890.98000000,55477.88000000,55830.90000000,513.12035700,1620363599999,28562490.96266211,17041,259.21425900,14430263.64045006,0
1620363600000,55830.90000000,55980.00000000,55712.39000000,55911.59000000,558.57649700,1620364499999,31195602.41415706,15869,327.25817500,18275021.04089103,0
1620364500000,55911.59000000,55969.34000000,55753.69000000,55944.92000000,476.24399800,1620365399999,26613475.70809503,15837,228.95452600,12794060.96369807,0
1620365400000,55944.92000000,56106.34000000,55857.00000000,55959.76000000,500.78085400,1620366299999,28028436.52936951,15396,260.64335800,14587767.68181182,0
1620366300000,55956.91000000,55974.65000000,55795.36000000,55795.36000000,554.48951100,1620367199999,30977697.20083200,15878,304.89696900,17033250.68737821,0
1620367200000,55795.37000000,56073.75000000,55640.37000000,56035.00000000,601.44664300,1620368099999,33583948.45389697,18618,346.84315700,19363331.00604675,0
